Timestamp,User,Module,Event,Mark
2025-01-09 04:23:05,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 04:25:00,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:01:02,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:01:07,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:01:08,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:01:10,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:01:11,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:01:12,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:01:23,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:01:27,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:01:31,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:01:44,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:01:52,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 22:01:52,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:02:06,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:02:53,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:02:57,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:02:57,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:02:58,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:02:59,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 22:02:59,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:03:08,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:03:09,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 22:03:09,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:03:16,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:06:21,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:06:23,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:06:23,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:06:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:06:26,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 22:06:26,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:06:59,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:07:31,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:07:32,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:07:32,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:07:33,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:07:33,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 22:07:33,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 22:07:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 22:08:03,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 22:08:05,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 22:08:20,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:11:04,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 22:11:51,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:43:00,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:43:41,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:48:06,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:48:47,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:49:41,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:50:22,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:51:01,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 23:56:40,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:11:02,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:11:39,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:12:11,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:12:17,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:12:20,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:12:23,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:12:25,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:14:44,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-10 00:14:54,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-10 00:14:59,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
